name,type,str_addr,addr_loc,addr_reg,post_code,phone_num
Chinook Dairy Service Ltd,Dairy Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">98 N Service Rd</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Hague</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0K 1X0</span>",
Saskview Farm Solutions Ltd,Dairy Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">215B Apex St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7R 1C3</span>",
Saskview Farm Solutions Ltd,Dairy Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">215B Apex St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7R 1C3</span>",
UFA Farm & Ranch Supply Store,Farm & Ranch Services,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Hwy 697 &amp; Main St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">La Crete</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0H 2H0</span>",
Flaman Trailer & Ag Rentals,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">GD Stn Main</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Prince Albert</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S6V 5Z5</span>",
Peavey Mart,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">300 15Th St E</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Prince Albert</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S6V 1G2</span>",
Beeland Co-op Assoc Ltd,Farm Equipment & Supplies,,,"<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1T0</span>",
Western Commodities Inc,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">806 100th St S</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Tisdale</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1T0</span>",
Beeland Co-op Assoc Ltd,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">713 93rd Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Tisdale</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1T0</span>",
Nutrien Ag Solutions (Canada) Inc,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">NW 11-39-26W</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Birch River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0L 0E0</span>",
Melfort Parts Depot,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1221 Hwy 6 S</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Melfort</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1A0</span>",
Crop Production Services (Canada) Inc,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Hwy 23</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Porcupine Plain</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1H0</span>",
Peavey Mart,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1350 Main St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Swan River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0L 1Z0</span>",
Valley Bearing & Auto,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">210 Main St</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Swan River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0L 1Z0</span>",
New Era Ag Technologies,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">507 3rd Avenue S</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Swan River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0L 1Z0</span>",
Parrish & Heimbecker Ltd,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">569 3rd Ave S</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Swan River</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0L 1Z0</span>",
Co-Op Farm Supply,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">104 1 St Ave N</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Rose Valley</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1M0</span>",
Prosoils,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Hwy 35 S</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Rose Valley</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1M0</span>",
Nutrien Ag Solutions,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">410 Hwy 38 N</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kelvington</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 1W0</span>",
Crop Production Services (Canada) Inc,Farm Equipment & Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">301 Railway Ave N</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Pelly</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 2Z0</span>",
